IMG Genome ID,Acidimicrobiia,Acidithiobacillia,Actinomycetes,Alphaproteobacteria,Anaerolineae,Aquificae,Ardenticatenia,Armatimonadia,Bacilli,Bacteriovoracia,Bacteroidia,Balneolia,Bdellovibrionia,Betaproteobacteria,Blastocatellia,Caldilineae,Caldisericia,Calditrichia,Candidatus Babeliae,Candidatus Brocadiia,Candidatus Desulfofervidia,Candidatus Izimaplasma,Candidatus Saccharimonadia,Chitinivibrionia,Chitinophagia,Chlamydiia,Chlorobiia,Chloroflexia,Chrysiogenetes,Chthonomonadetes,Clostridia,Coprothermobacteria,Coriobacteriia,Cyanophyceae,Cytophagia,Deferribacteres,Deferrisomatia,Dehalococcoidia,Deinococci,Deltaproteobacteria,Desulfarculia,Desulfobaccia,Desulfobacteria,Desulfobulbia,Desulfomonilia,Desulfovibrionia,Desulfurellia,Desulfuribacillia,Desulfuromonadia,Dethiobacteria,Dictyoglomia,Dissulfuribacteria,Elusimicrobia,Endomicrobiia,Epsilonproteobacteria,Erysipelotrichia,Fibrobacteria,Fimbriimonadia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Gemmatimonadetes,Holophagae,Hydrogenophilia,Ignavibacteria,Ktedonobacteria,Lentisphaeria,Limnochordia,Longimicrobiia,Methylacidiphilae,Mollicutes,Myxococcia,Negativicutes,Nitriliruptoria,Nitrospinia,Nitrospiria,Oligoflexia,Opitutae,Phycisphaerae,Planctomycetia,Rhodothermia,Rubrobacteria,Saprospiria,Spartobacteria,Sphingobacteriia,Spirochaetia,Synergistia,Syntrophia,Syntrophobacteria,Syntrophorhabdia,Terriglobia,Thermoanaerobaculia,Thermodesulfobacteria,Thermodesulfovibrionia,Thermoflexia,Thermoleophilia,Thermomicrobia,Thermotogae,Tissierellia,Verrucomicrobiae,Vicinamibacteria,Zetaproteobacteria,unclassified
3300060605,14956,2557,88060,3596785,860,4239,1672,663,52434,4631,103309,7884,8918,223555,485,609,74,1898,77,1665,449,1162,178,623,37054,1616,3108,2775,665,305,39745,10,1321,82445,200057,766,243,240,3179,6554,512,40,9334,3157,352,14439,242,6,7991,93,308,234,282,74,13028,1361,1215,155,1962931,2139,4021920,1164,154,377,2215,1813,6902,270,362,152,685,9562,6274,1638,1312,2429,2356,29227,2301,27530,5535,763,40229,2354,53450,10168,866,456,686,250,5124,46,741,293,63,2352,665,1583,2329,61252,633,2001,135606
3300060609,3347,461,38486,5838512,164,1762,496,101,37634,12275,76874,5348,13407,112790,205,264,0,326,14,283,24,480,38,119,30813,679,2720,471,1051,8,20798,30,464,53448,167086,466,216,121,1075,2013,133,26,4524,1495,43,10721,153,31,3761,93,104,106,43,10,7340,718,972,95,3684670,1477,4829926,344,85,38,975,249,3346,41,36,0,275,2390,3403,354,418,1323,886,2768,731,9818,2666,532,49221,759,45305,3916,259,1919,240,251,2740,17,564,112,4,625,101,511,1035,48218,227,1785,115017
3300060899,10478,1134,98378,4298368,730,4074,845,740,58002,74816,97655,6740,47915,211955,541,389,24,792,107,986,102,796,168,379,32787,2387,3864,1524,1424,150,38796,16,1357,100505,199394,1132,278,260,2992,3997,438,36,8639,2324,356,16555,363,77,7572,128,768,234,78,58,15010,1502,3524,376,4214928,2707,5533486,825,88,123,1281,1083,7394,114,204,45,1212,9467,6527,1208,867,3191,3839,9661,1930,24681,3660,1020,65601,2146,47899,9017,722,1027,521,342,6209,133,862,245,51,1112,383,1280,2298,123069,553,3688,125756
3300060900,2124,414,30612,3544634,150,1682,337,52,36713,16063,63117,4304,10655,102329,218,205,4,220,12,184,51,407,45,156,24937,535,2577,467,920,4,19540,0,439,50342,136087,399,219,63,649,1625,216,3,4635,1053,67,10125,128,43,2971,52,146,86,119,169,6415,726,770,59,3150428,1538,3599380,256,82,48,653,373,2002,36,115,8,311,2429,3062,278,243,1025,832,2013,515,8077,1990,327,43052,392,37595,2976,283,315,365,137,1777,37,322,106,9,637,155,319,1215,21432,77,1774,85155
3300067062,52246,3787,157523,9861230,2588,10835,3058,1288,126555,16878,516172,33006,19172,495270,1435,1344,179,6843,117,4664,680,4612,944,1126,158886,5737,8685,6273,1175,290,99277,95,3772,167611,856712,2974,702,653,5724,14726,961,51,21257,6308,664,24059,1175,145,17893,375,953,366,1328,495,39810,3132,4720,879,13178965,9754,7387395,2077,280,585,7933,5191,20796,518,856,389,2750,17600,13253,7453,2782,6005,7200,61503,5493,73606,16287,1473,324325,7877,273151,23672,1852,2412,1705,459,11729,187,1548,1070,71,5383,1445,5392,7638,353190,1088,3830,764189
3300067063,18141,4130,155577,14222062,709,12525,2332,3821,181503,12103,371415,34302,23899,643571,1274,1081,16,1924,16,2250,204,2150,741,806,137804,10472,17858,2443,2500,234,111103,213,2194,178098,818904,2372,2972,469,6099,10259,1536,31,28140,12544,353,37801,1302,92,36813,1821,939,275,353,19,36816,4204,3596,3444,10830958,14064,8092278,2555,315,292,5472,1458,188395,85,283,145,5499,14807,12735,1789,2803,8856,6614,1207206,26300,324579,19628,1317,151937,43446,248639,27941,1813,2329,2047,383,23341,370,1881,115,48,4603,762,3607,8628,3622207,3740,14090,348221
3300067064,13899,4374,217226,8860636,2341,18229,3801,334,188464,22175,430490,25788,39415,523742,1121,1220,315,3974,52,6133,747,7102,2211,480,134104,8963,8653,5265,1544,213,139989,167,3755,186437,672496,2576,370,1025,10750,12567,1142,36,27646,4296,378,54791,1771,104,17105,223,1165,318,1139,263,69665,5080,5560,315,11610441,9706,6095100,1752,419,662,4975,3456,8558,288,1008,82,3944,14725,20551,4343,2354,4351,8405,16032,3271,45807,11944,1394,209295,1630,204196,32009,1940,1124,4419,572,12629,64,1555,1508,129,7414,967,6115,10444,95509,874,4430,548889
3300067160,2343,1750,80779,3716090,446,8772,939,287,99578,51297,171998,10991,25342,282506,419,149,24,895,37,1640,243,2728,837,279,53241,4074,5761,1727,1698,81,65784,62,1700,120754,292368,1290,219,596,2267,5419,505,0,9791,2274,143,21706,906,33,7435,164,1051,485,258,71,25429,2615,3286,448,8052404,4709,5051645,757,91,114,1471,926,7751,35,460,26,1856,6503,8832,1118,970,2499,4113,8190,1997,25873,6298,628,116782,2330,70504,12941,494,739,392,395,4864,130,538,304,32,2800,294,2470,4290,166162,358,3022,249689
3300067161,2406,995,69813,5144917,255,5717,485,135,104191,49817,153147,11581,26726,235146,584,411,0,597,19,627,93,774,212,310,55999,2005,6115,1053,1489,67,61265,0,1158,82625,282219,873,360,314,1663,3782,551,0,8747,2165,132,19345,547,98,6036,88,256,117,733,84,14981,1072,2192,175,7699464,3824,6023846,655,86,154,1747,702,2889,98,283,35,1170,6161,8671,634,494,2244,3003,3632,1071,14408,4211,596,87339,819,80704,8146,527,869,381,273,3982,168,628,118,26,2641,188,764,3952,36611,111,3032,175387
3300067164,7011,1564,137695,9310218,827,7795,1162,612,164649,25129,239305,17322,106514,419080,1203,748,53,1034,59,1170,443,1884,820,886,83163,4123,10901,1704,1337,123,108493,34,2229,163434,459494,1539,532,371,3414,6473,969,20,15537,5387,256,31994,661,101,11577,202,856,191,201,231,27179,3608,3872,399,8837437,5943,5687581,1275,270,81,3485,1787,16433,187,500,288,1969,12565,11011,853,1929,4486,4171,65638,3430,40831,7680,901,118136,3699,134659,14168,773,3233,1234,407,6576,179,1404,364,147,3471,507,2561,7448,263411,264,5486,214317
3300067165,2923,1417,109014,4057703,585,7627,670,278,104191,108025,186787,12735,33215,256620,408,221,33,880,53,1592,174,1937,661,456,60542,3570,5318,1523,1681,0,77934,0,1593,123231,344526,1301,146,359,2260,5298,438,0,11528,2674,182,20611,870,214,8959,211,537,429,159,321,23777,2051,4014,153,10856819,5060,5865626,757,63,218,1788,883,6881,102,205,19,1904,7661,7415,996,841,3152,5013,7128,2881,24200,4542,957,193535,1597,85326,13042,774,968,333,379,5208,64,515,255,45,1745,229,2750,3851,124027,285,3609,276100
3300067202,905,2436,105203,4096877,375,17318,1118,167,143752,21586,196974,14209,36090,273087,1374,493,44,435,26,2022,119,4119,1535,15,74377,6157,6632,3232,635,40,83477,0,4602,128441,335854,1078,158,712,3065,7900,2262,0,12037,2572,113,28307,1617,22,6932,524,175,297,255,159,29107,1862,3832,160,9946991,5043,6212414,900,58,76,1573,497,5855,12,1452,77,2391,12029,14815,602,1338,1490,6238,4485,3759,21104,4727,441,151294,753,90049,16737,732,544,300,1178,6609,39,842,655,17,3096,220,1302,9843,24319,111,2032,266157
3300067228,3488,2703,159384,9140177,869,16807,1486,1337,155730,13466,203352,11769,78238,417968,1661,470,26,406,81,1967,60,2988,1562,116,69012,6428,13219,3798,2070,432,86394,125,4215,146673,312091,1647,794,948,3784,7338,2816,64,12953,2826,422,29635,1763,84,7329,444,209,185,222,58,25346,2657,3345,635,9083246,4253,6459637,898,103,373,1260,1454,6329,93,1550,138,2173,19120,14625,900,1221,2159,7258,8666,4224,48357,6723,501,118019,1554,84646,15685,616,574,409,1431,9349,68,633,671,81,1898,398,1695,6288,78216,506,2681,231875
3300067230,3683,2160,100590,6788043,710,8926,960,353,102626,66386,220142,15915,51097,337560,460,479,50,1184,41,2220,252,2626,692,364,71040,3816,6739,2137,2157,62,73917,0,2158,163782,438771,1415,471,401,2888,6285,456,30,14741,3558,264,21732,1122,108,9932,129,1648,331,361,208,39200,2176,5605,133,14545206,5700,7267014,1096,253,306,2312,1619,13680,80,337,81,2055,8242,8712,1249,1295,3590,5143,12653,2551,33845,7568,919,203000,3684,100023,15832,882,1033,713,489,6906,123,898,525,4,1368,352,2370,3856,246928,423,4513,489463
3300067231,4379,3123,177140,5518500,1180,19492,1073,803,203615,234754,351769,22133,70605,517338,1527,264,64,1437,96,3370,296,5449,1316,724,105848,8251,11230,3019,2283,57,147085,295,2960,216519,598970,2543,503,629,4647,9266,1780,26,19699,5327,254,50866,1284,267,14030,252,1711,637,222,379,50142,5255,8394,345,15813943,10567,7743174,1651,547,397,3118,1654,9181,451,455,121,3372,13304,15459,1830,1712,5200,10834,12216,5566,43200,10265,2117,216726,3937,159612,27267,848,2655,3941,658,9907,320,1277,606,45,5850,515,4708,10745,157946,284,6429,399029
3300068014,7499,2002,106721,11412855,794,10017,697,257,162331,49275,303766,23906,51488,363106,1114,652,19,1130,39,1470,402,1260,590,439,113052,3790,10123,2092,1834,78,88754,260,2297,143361,589075,1542,585,919,3780,7241,982,41,20851,3797,310,29131,990,140,10475,187,360,399,367,344,85797,3056,3493,152,14171036,6569,11042640,1147,177,243,3948,1071,6897,119,398,56,1946,13572,11541,940,830,4018,5650,8787,2767,29787,8635,873,259919,1581,162019,14442,1056,1038,1413,444,6084,201,1385,325,35,2592,387,2034,4852,113086,367,4167,349158
3300068252,3034,1481,229768,8410938,869,10873,1098,1328,214591,16340,304884,32811,59345,432587,883,820,28,1876,117,1675,342,2152,920,728,107194,5620,10822,1588,1504,204,112142,48,2560,163868,651673,2558,723,720,4104,6914,900,26,15692,4850,144,30116,1213,56,12838,215,824,147,117,12,34480,4242,5122,690,10276253,8264,5377447,1463,138,47,4402,1560,27945,218,325,362,2467,9925,13165,1330,2552,4414,5902,88336,6977,56907,9908,729,126272,6674,188479,20467,1170,968,803,387,8449,298,1506,217,18,4519,395,3069,9904,551637,368,6238,225512
